# Meta deck: Fezandipiti ex
# Mined from ladder episodes (episodes_2026-07-01.jsonl); archetype seen in 1351 games.
# This exact list: 610 games, 51.3% win rate, teams: THIRD PTCG Club
# card_id,count,name
5,2  # Basic {P} Energy
13,1  # Enriching Energy
19,4  # Telepath Psychic Energy
66,3  # Dudunsparce
140,1  # Fezandipiti ex
305,3  # Dunsparce
343,1  # Shaymin
741,4  # Abra
742,4  # Kadabra
743,3  # Alakazam
1079,3  # Rare Candy
1081,3  # Enhanced Hammer
1086,4  # Buddy-Buddy Poffin
1097,2  # Night Stretcher
1121,1  # Ultra Ball
1129,1  # Sacred Ash
1146,1  # Wondrous Patch
1152,4  # Poké Pad
1182,2  # Boss’s Orders
1184,1  # Lana’s Aid
1186,1  # Eri
1197,1  # Xerosic’s Machinations
1225,4  # Hilda
1231,4  # Dawn
1264,2  # Battle Cage
