# Meta deck: Marnie's Grimmsnarl ex / Fezandipiti ex
# Mined from ladder episodes (episodes_2026-07-01.jsonl); archetype seen in 755 games.
# This exact list: 755 games, 58.4% win rate, teams: The Debauchery Tea Party
# card_id,count,name
7,10  # Basic {D} Energy
66,3  # Dudunsparce
112,3  # Munkidori
140,1  # Fezandipiti ex
235,1  # Budew
305,3  # Dunsparce
646,4  # Marnie's Impidimp
647,2  # Marnie's Morgrem
648,4  # Marnie's Grimmsnarl ex
689,1  # Yveltal
1079,4  # Rare Candy
1086,4  # Buddy-Buddy Poffin
1137,1  # Tool Scrapper
1152,4  # Poké Pad
1159,1  # Hero’s Cape
1182,2  # Boss’s Orders
1197,1  # Xerosic’s Machinations
1227,4  # Lillie's Determination
1231,3  # Dawn
1259,3  # Spikemuth Gym
1260,1  # Risky Ruins
